Timestamp,Log Level,Event Type,Module,Message,Request Data,Response Data,Duration (ms),User ID
2025-11-13T10:24:24.856Z,INFO,API_CALL,ReportController,"INFO: GET /api/breakdown-history?page=1&limit=1000&orgId=ORG001&offset=0 - Get Breakdown History Report","{""operation"":""Get Breakdown History Report"",""method"":""GET"",""url"":""/api/breakdown-history?page=1&limit=1000&orgId=ORG001&offset=0"",""orgId"":""ORG001"",""hasFilters"":true}","{""status"":""processing""}",N/A,USR001
2025-11-13T10:24:24.957Z,INFO,FILTERS_APPLIED,ReportController,"INFO: Filters applied to Breakdown History report","{""report_type"":""Breakdown History"",""filter_keys"":[""branch_id""],""filter_count"":1,""filters"":{""branch_id"":""BR001""}}","{""filters_valid"":true}",N/A,USR001
2025-11-13T10:24:25.048Z,INFO,DATA_RETRIEVAL,ReportController,"INFO: Retrieving Breakdown History report data","{""report_type"":""Breakdown History"",""filters"":{""page"":""1"",""limit"":1000,""orgId"":""ORG001"",""offset"":0,""branch_id"":""BR001""},""filter_count"":5}","{""status"":""fetching""}",N/A,USR001
2025-11-13T10:24:25.201Z,INFO,DATA_RETRIEVED,ReportController,"INFO: Retrieved 1 records for Breakdown History report","{""report_type"":""Breakdown History"",""filters"":{""page"":""1"",""limit"":1000,""orgId"":""ORG001"",""offset"":0,""branch_id"":""BR001""}}","{""success"":true,""record_count"":1,""has_data"":true}",351,USR001
2025-11-13T10:24:25.774Z,INFO,API_CALL,ReportController,"INFO: GET /api/breakdown-history?page=1&limit=1000&orgId=ORG001&offset=0 - Get Breakdown History Report","{""operation"":""Get Breakdown History Report"",""method"":""GET"",""url"":""/api/breakdown-history?page=1&limit=1000&orgId=ORG001&offset=0"",""orgId"":""ORG001"",""hasFilters"":true}","{""status"":""processing""}",N/A,USR001
2025-11-13T10:24:25.981Z,INFO,FILTERS_APPLIED,ReportController,"INFO: Filters applied to Breakdown History report","{""report_type"":""Breakdown History"",""filter_keys"":[""branch_id""],""filter_count"":1,""filters"":{""branch_id"":""BR001""}}","{""filters_valid"":true}",N/A,USR001
2025-11-13T10:24:26.081Z,INFO,DATA_RETRIEVAL,ReportController,"INFO: Retrieving Breakdown History report data","{""report_type"":""Breakdown History"",""filters"":{""page"":""1"",""limit"":1000,""orgId"":""ORG001"",""offset"":0,""branch_id"":""BR001""},""filter_count"":5}","{""status"":""fetching""}",N/A,USR001
2025-11-13T10:24:26.486Z,INFO,DATA_RETRIEVED,ReportController,"INFO: Retrieved 1 records for Breakdown History report","{""report_type"":""Breakdown History"",""filters"":{""page"":""1"",""limit"":1000,""orgId"":""ORG001"",""offset"":0,""branch_id"":""BR001""}}","{""success"":true,""record_count"":1,""has_data"":true}",511,USR001
2025-11-13T10:24:27.312Z,INFO,API_CALL,ReportController,"INFO: GET /api/breakdown-history?page=1&limit=1000&orgId=ORG001&offset=0 - Get Breakdown History Report","{""operation"":""Get Breakdown History Report"",""method"":""GET"",""url"":""/api/breakdown-history?page=1&limit=1000&orgId=ORG001&offset=0"",""orgId"":""ORG001"",""hasFilters"":true}","{""status"":""processing""}",N/A,USR001
2025-11-13T10:24:27.412Z,INFO,FILTERS_APPLIED,ReportController,"INFO: Filters applied to Breakdown History report","{""report_type"":""Breakdown History"",""filter_keys"":[""branch_id""],""filter_count"":1,""filters"":{""branch_id"":""BR001""}}","{""filters_valid"":true}",N/A,USR001
2025-11-13T10:24:27.515Z,INFO,DATA_RETRIEVAL,ReportController,"INFO: Retrieving Breakdown History report data","{""report_type"":""Breakdown History"",""filters"":{""page"":""1"",""limit"":1000,""orgId"":""ORG001"",""offset"":0,""branch_id"":""BR001""},""filter_count"":5}","{""status"":""fetching""}",N/A,USR001
2025-11-13T10:24:27.719Z,INFO,DATA_RETRIEVED,ReportController,"INFO: Retrieved 1 records for Breakdown History report","{""report_type"":""Breakdown History"",""filters"":{""page"":""1"",""limit"":1000,""orgId"":""ORG001"",""offset"":0,""branch_id"":""BR001""}}","{""success"":true,""record_count"":1,""has_data"":true}",483,USR001
2025-11-13T15:58:25.073Z,INFO,API_CALL,ReportController,"INFO: GET /api/breakdown-history?page=1&limit=1000&orgId=ORG001&offset=0 - Get Breakdown History Report","{""operation"":""Get Breakdown History Report"",""method"":""GET"",""url"":""/api/breakdown-history?page=1&limit=1000&orgId=ORG001&offset=0"",""orgId"":""ORG001"",""hasFilters"":true}","{""status"":""processing""}",N/A,USR001
