Timestamp,Log Level,Event Type,Module,Message,Request Data,Response Data,Duration (ms),User ID
2025-11-11T12:06:18.737Z,INFO,DB_QUERY,AssetAssignmentController,"INFO: Querying assignments for employee EMP001","{""employee_id"":""EMP001"",""query"":""getActiveAssetAssignmentsByEmployeeWithDetails""}","{""status"":""Executing query""}",N/A,USR001
2025-11-11T12:06:18.744Z,INFO,API_CALL,AssetAssignmentController,"INFO: GET /api/asset-assignments/employee/EMP001/active - Employee assignments retrieval API called","{""method"":""GET"",""url"":""/api/asset-assignments/employee/EMP001/active"",""employee_id"":""EMP001"",""operation"":""getEmployeeAssignments""}","{""status"":""Request received, fetching assignments""}",N/A,USR001
2025-11-11T12:06:18.847Z,INFO,DATA_PROCESSING,AssetAssignmentController,"INFO: Processing 0 assignment records for display","{""employee_id"":""EMP001"",""record_count"":0}","{""status"":""Formatting data for response""}",N/A,USR001
2025-11-11T12:06:18.850Z,INFO,DATA_RETRIEVED,AssetAssignmentController,"INFO: Retrieved 0 assignments for employee EMP001","{""employee_id"":""EMP001""}","{""count"":0,""has_assignments"":false}",100,USR001
2025-11-11T12:08:25.117Z,INFO,API_CALL,AssetAssignmentController,"INFO: GET /api/asset-assignments/employee/EMP001/active - Employee assignments retrieval API called","{""method"":""GET"",""url"":""/api/asset-assignments/employee/EMP001/active"",""employee_id"":""EMP001"",""operation"":""getEmployeeAssignments""}","{""status"":""Request received, fetching assignments""}",N/A,USR001
2025-11-11T12:08:25.120Z,INFO,DB_QUERY,AssetAssignmentController,"INFO: Querying assignments for employee EMP001","{""employee_id"":""EMP001"",""query"":""getActiveAssetAssignmentsByEmployeeWithDetails""}","{""status"":""Executing query""}",N/A,USR001
2025-11-11T12:08:25.442Z,INFO,DATA_RETRIEVED,AssetAssignmentController,"INFO: Retrieved 0 assignments for employee EMP001","{""employee_id"":""EMP001""}","{""count"":0,""has_assignments"":false}",332,USR001
2025-11-11T12:08:25.443Z,INFO,DATA_PROCESSING,AssetAssignmentController,"INFO: Processing 0 assignment records for display","{""employee_id"":""EMP001"",""record_count"":0}","{""status"":""Formatting data for response""}",N/A,USR001
2025-11-11T12:08:31.285Z,INFO,FILTER_APPLIED,AssetSelection,"INFO: Fetching assets for asset type AT054","{""employee_int_id"":""unknown"",""asset_type_id"":""AT054"",""filter_type"":""asset_type""}","{""filter_active"":true}",N/A,USR001
2025-11-11T12:08:31.300Z,INFO,API_CALL,AssetAssignmentController,"INFO: GET /api/assets/type/AT054/inactive?context=EMPASSIGNMENT - getInactiveAssetsByAssetType","{""operation"":""getInactiveAssetsByAssetType"",""method"":""GET"",""url"":""/api/assets/type/AT054/inactive?context=EMPASSIGNMENT"",""asset_type_id"":""AT054""}","{""status"":""processing""}",N/A,USR001
2025-11-11T12:08:31.304Z,INFO,ASSET_TYPE_SELECTED,AssetSelection,"INFO: Asset type selected - Type: AT054","{""asset_type_id"":""AT054"",""action"":""asset_type_selection""}","{""asset_type_selected"":true}",N/A,USR001
2025-11-11T12:08:31.395Z,INFO,ASSETS_VIEW,AssetSelection,"INFO: Viewed 1 available assets for employee assignment","{""employee_int_id"":""unknown""}","{""asset_count"":1,""has_assets"":true}",111,USR001
2025-11-11T12:12:23.090Z,INFO,API_CALL,AssetAssignmentController,"INFO: POST /api/asset-assignments/employee - Employee assignment API called","{""method"":""POST"",""url"":""/api/asset-assignments/employee"",""asset_id"":""ASS106"",""employee_int_id"":""EMP_INT_0001"",""dept_id"":""DPT202"",""org_id"":""ORG001"",""asset_assign_id"":""AA1762863142818"",""latest_assignment_flag"":true}","{""status"":""Request received, starting processing""}",N/A,USR001
2025-11-11T12:12:23.264Z,INFO,VALIDATION,AssetAssignmentController,"INFO: Validating assignment parameters","{""asset_id"":""ASS106"",""employee_int_id"":""EMP_INT_0001"",""dept_id"":""DPT202"",""org_id"":""ORG001""}","{""status"":""validating""}",N/A,USR001
2025-11-11T12:12:23.308Z,INFO,DB_QUERY,AssetAssignmentController,"INFO: Checking for existing assignment","{""asset_id"":""ASS106"",""employee_int_id"":""EMP_INT_0001"",""query"":""checkAssetAssignmentExists""}","{""status"":""querying database""}",N/A,USR001
2025-11-11T12:12:23.366Z,INFO,ID_GENERATION,AssetAssignmentController,"INFO: Assignment ID generated - AA1762863142818","{""assignment_id"":""AA1762863142818""}","{""id_generated"":true,""assignment_id"":""AA1762863142818""}",N/A,USR001
2025-11-11T12:12:23.368Z,INFO,VALIDATION,AssetAssignmentController,"INFO: No existing assignment found - proceeding with assignment","{""asset_id"":""ASS106"",""employee_int_id"":""EMP_INT_0001""}","{""existing_assignment"":false,""can_proceed"":true}",N/A,USR001
2025-11-11T12:12:23.371Z,INFO,DB_QUERY,AssetAssignmentController,"INFO: Inserting assignment to database","{""assignment_id"":""AA1762863142818"",""asset_id"":""ASS106"",""employee_int_id"":""EMP_INT_0001"",""dept_id"":""DPT202"",""org_id"":""ORG001"",""query"":""INSERT INTO tblAssetAssignment""}","{""status"":""executing INSERT query""}",N/A,USR001
2025-11-11T12:12:23.422Z,INFO,ASSIGNMENT_SUCCESS,AssetAssignmentController,"INFO: Asset assigned to employee successfully - Asset: ASS106, Employee: EMP_INT_0001","{""asset_id"":""ASS106"",""employee_int_id"":""EMP_INT_0001"",""assignment_id"":""AA1762863142818""}","{""success"":true,""assignment_created"":true,""assignment_id"":""AA1762863142818""}",337,USR001
2025-11-11T12:12:23.427Z,INFO,DB_QUERY,AssetAssignmentController,"INFO: Assignment inserted to database successfully","{""assignment_id"":""AA1762863142818"",""asset_id"":""ASS106"",""employee_int_id"":""EMP_INT_0001""}","{""inserted"":true,""rows_affected"":1}",N/A,USR001
2025-11-11T12:12:33.678Z,INFO,DB_QUERY,AssetAssignmentController,"INFO: Querying assignments for employee EMP001","{""employee_id"":""EMP001"",""query"":""getActiveAssetAssignmentsByEmployeeWithDetails""}","{""status"":""Executing query""}",N/A,USR001
