Timestamp,Log Level,Event Type,Module,Message,Request Data,Response Data,Duration (ms),User ID
2025-10-29T10:53:00.301Z,INFO,API_CALL,ApprovalDetailController,"INFO: GET /api/approval-detail/workflow/WFAMSH_06?t=1761735179490 - Get Approval Detail By WfamshId","{""operation"":""Get Approval Detail By WfamshId"",""method"":""GET"",""url"":""/api/approval-detail/workflow/WFAMSH_06?t=1761735179490"",""wfamsh_id"":""WFAMSH_06"",""org_id"":""ORG001""}","{""status"":""processing""}",N/A,USR001
2025-10-29T10:53:00.872Z,INFO,APPROVAL_OPERATION,ApprovalDetailController,"INFO: Get Approval Detail By WfamshId completed successfully","{""wfamsh_id"":""WFAMSH_06"",""org_id"":""ORG001""}","{""success"":true,""wfamsd_id"":""WFAMSD_16"",""asset_id"":""ASS074""}",563,USR001
2025-10-29T10:53:01.435Z,INFO,API_CALL,ApprovalDetailController,"INFO: GET /api/assets/ASS074?context=MAINTENANCEAPPROVAL - Get Asset Details","{""operation"":""Get Asset Details"",""method"":""GET"",""url"":""/api/assets/ASS074?context=MAINTENANCEAPPROVAL"",""asset_id"":""ASS074""}","{""status"":""processing""}",N/A,USR001
2025-10-29T10:53:01.441Z,INFO,API_CALL,ApprovalDetailController,"INFO: GET /api/approval-detail/workflow-history/WFAMSH_06 - Get Workflow History By WfamshId","{""operation"":""Get Workflow History By WfamshId"",""method"":""GET"",""url"":""/api/approval-detail/workflow-history/WFAMSH_06"",""wfamsh_id"":""WFAMSH_06"",""org_id"":""ORG001""}","{""status"":""processing""}",N/A,USR001
2025-10-29T10:53:01.645Z,INFO,APPROVAL_OPERATION,ApprovalDetailController,"INFO: Get Asset Details completed successfully","{""asset_id"":""ASS074""}","{""success"":true,""found"":true,""asset_name"":""Test Asset"",""asset_type_id"":""AT001"",""current_status"":""Active""}",228,USR001
2025-10-29T10:53:01.660Z,INFO,APPROVAL_OPERATION,ApprovalDetailController,"INFO: Get Workflow History By WfamshId completed successfully","{""wfamsh_id"":""WFAMSH_06"",""org_id"":""ORG001""}","{""success"":true,""history_count"":0}",218,USR001
2025-10-29T10:53:06.694Z,INFO,API_CALL,ApprovalDetailController,"INFO: GET /api/approval-detail/workflow/WFAMSH_11?t=1761735186078 - Get Approval Detail By WfamshId","{""operation"":""Get Approval Detail By WfamshId"",""method"":""GET"",""url"":""/api/approval-detail/workflow/WFAMSH_11?t=1761735186078"",""wfamsh_id"":""WFAMSH_11"",""org_id"":""ORG001""}","{""status"":""processing""}",N/A,USR001
2025-10-29T10:53:07.307Z,INFO,APPROVAL_OPERATION,ApprovalDetailController,"INFO: Get Approval Detail By WfamshId completed successfully","{""wfamsh_id"":""WFAMSH_11"",""org_id"":""ORG001""}","{""success"":true,""wfamsd_id"":""WFAMSD_31"",""asset_id"":""AST002""}",645,USR001
2025-10-29T10:53:07.813Z,INFO,API_CALL,ApprovalDetailController,"INFO: GET /api/approval-detail/workflow-history/WFAMSH_11 - Get Workflow History By WfamshId","{""operation"":""Get Workflow History By WfamshId"",""method"":""GET"",""url"":""/api/approval-detail/workflow-history/WFAMSH_11"",""wfamsh_id"":""WFAMSH_11"",""org_id"":""ORG001""}","{""status"":""processing""}",N/A,USR001
2025-10-29T10:53:07.874Z,INFO,API_CALL,ApprovalDetailController,"INFO: GET /api/assets/AST002?context=MAINTENANCEAPPROVAL - Get Asset Details","{""operation"":""Get Asset Details"",""method"":""GET"",""url"":""/api/assets/AST002?context=MAINTENANCEAPPROVAL"",""asset_id"":""AST002""}","{""status"":""processing""}",N/A,USR001
2025-10-29T10:53:08.011Z,INFO,APPROVAL_OPERATION,ApprovalDetailController,"INFO: Get Workflow History By WfamshId completed successfully","{""wfamsh_id"":""WFAMSH_11"",""org_id"":""ORG001""}","{""success"":true,""history_count"":0}",179,USR001
2025-10-29T10:53:08.050Z,INFO,APPROVAL_OPERATION,ApprovalDetailController,"INFO: Get Asset Details completed successfully","{""asset_id"":""AST002""}","{""success"":true,""found"":true,""asset_name"":""Laptop"",""asset_type_id"":""AT001"",""current_status"":""Active""}",199,USR001
2025-10-29T10:53:14.719Z,INFO,API_CALL,ApprovalDetailController,"INFO: GET /api/approval-detail/workflow/WFAMSH_09?t=1761735194196 - Get Approval Detail By WfamshId","{""operation"":""Get Approval Detail By WfamshId"",""method"":""GET"",""url"":""/api/approval-detail/workflow/WFAMSH_09?t=1761735194196"",""wfamsh_id"":""WFAMSH_09"",""org_id"":""ORG001""}","{""status"":""processing""}",N/A,USR001
2025-10-29T10:53:15.216Z,INFO,APPROVAL_OPERATION,ApprovalDetailController,"INFO: Get Approval Detail By WfamshId completed successfully","{""wfamsh_id"":""WFAMSH_09"",""org_id"":""ORG001""}","{""success"":true,""wfamsd_id"":""WFAMSD_25"",""asset_id"":""ASS096""}",494,USR001
2025-10-29T10:53:15.717Z,INFO,API_CALL,ApprovalDetailController,"INFO: GET /api/approval-detail/workflow-history/WFAMSH_09 - Get Workflow History By WfamshId","{""operation"":""Get Workflow History By WfamshId"",""method"":""GET"",""url"":""/api/approval-detail/workflow-history/WFAMSH_09"",""wfamsh_id"":""WFAMSH_09"",""org_id"":""ORG001""}","{""status"":""processing""}",N/A,USR001
2025-10-29T10:53:15.722Z,INFO,API_CALL,ApprovalDetailController,"INFO: GET /api/assets/ASS096?context=MAINTENANCEAPPROVAL - Get Asset Details","{""operation"":""Get Asset Details"",""method"":""GET"",""url"":""/api/assets/ASS096?context=MAINTENANCEAPPROVAL"",""asset_id"":""ASS096""}","{""status"":""processing""}",N/A,USR001
2025-10-29T10:53:15.885Z,INFO,APPROVAL_OPERATION,ApprovalDetailController,"INFO: Get Workflow History By WfamshId completed successfully","{""wfamsh_id"":""WFAMSH_09"",""org_id"":""ORG001""}","{""success"":true,""history_count"":0}",187,USR001
2025-10-29T10:53:15.902Z,INFO,APPROVAL_OPERATION,ApprovalDetailController,"INFO: Get Asset Details completed successfully","{""asset_id"":""ASS096""}","{""success"":true,""found"":true,""asset_name"":""Laptop"",""asset_type_id"":""AT001"",""current_status"":""Active""}",190,USR001
2025-10-29T10:53:21.115Z,INFO,API_CALL,ApprovalDetailController,"INFO: GET /api/approval-detail/workflow/WFAMSH_08?t=1761735200601 - Get Approval Detail By WfamshId","{""operation"":""Get Approval Detail By WfamshId"",""method"":""GET"",""url"":""/api/approval-detail/workflow/WFAMSH_08?t=1761735200601"",""wfamsh_id"":""WFAMSH_08"",""org_id"":""ORG001""}","{""status"":""processing""}",N/A,USR001
2025-10-29T10:53:21.733Z,INFO,APPROVAL_OPERATION,ApprovalDetailController,"INFO: Get Approval Detail By WfamshId completed successfully","{""wfamsh_id"":""WFAMSH_08"",""org_id"":""ORG001""}","{""success"":true,""wfamsd_id"":""WFAMSD_22"",""asset_id"":""ASS092""}",634,USR001
2025-10-29T10:53:22.247Z,INFO,API_CALL,ApprovalDetailController,"INFO: GET /api/approval-detail/workflow-history/WFAMSH_08 - Get Workflow History By WfamshId","{""operation"":""Get Workflow History By WfamshId"",""method"":""GET"",""url"":""/api/approval-detail/workflow-history/WFAMSH_08"",""wfamsh_id"":""WFAMSH_08"",""org_id"":""ORG001""}","{""status"":""processing""}",N/A,USR001
