Timestamp,Log Level,Event Type,Module,Message,Request Data,Response Data,Duration (ms),User ID
2025-12-05T13:11:01.495Z,INFO,API_CALL,AssetSerialPrintController,"INFO: GET /api/asset-serial-print/status/New - Print queue fetch API called","{""method"":""GET"",""url"":""/api/asset-serial-print/status/New"",""status_filter"":""New"",""operation"":""fetchPrintQueue""}","{""status"":""Request received, fetching print queue""}",N/A,USR002
2025-12-05T13:11:01.497Z,INFO,DB_QUERY,AssetSerialPrintController,"INFO: Querying print queue from database","{""status_filter"":""New"",""query"":""getPrintQueueByStatus""}","{""status"":""Executing query""}",N/A,USR002
2025-12-05T13:11:01.698Z,INFO,DATA_RETRIEVED,AssetSerialPrintController,"INFO: Retrieved 26 print queue items","{""status_filter"":""New""}","{""count"":26,""has_items"":true}",199,USR002
2025-12-05T13:11:02.491Z,INFO,DB_QUERY,AssetSerialPrintController,"INFO: Querying print queue from database","{""status_filter"":""New"",""query"":""getPrintQueueByStatus""}","{""status"":""Executing query""}",N/A,USR002
2025-12-05T13:11:02.503Z,INFO,API_CALL,AssetSerialPrintController,"INFO: GET /api/asset-serial-print/status/New - Print queue fetch API called","{""method"":""GET"",""url"":""/api/asset-serial-print/status/New"",""status_filter"":""New"",""operation"":""fetchPrintQueue""}","{""status"":""Request received, fetching print queue""}",N/A,USR002
2025-12-05T13:11:02.547Z,INFO,DATA_RETRIEVED,AssetSerialPrintController,"INFO: Retrieved 26 print queue items","{""status_filter"":""New""}","{""count"":26,""has_items"":true}",45,USR002
2025-12-05T13:11:03.632Z,INFO,DB_QUERY,AssetSerialPrintController,"INFO: Querying print queue from database","{""status_filter"":""New"",""query"":""getPrintQueueByStatus""}","{""status"":""Executing query""}",N/A,USR002
2025-12-05T13:11:03.634Z,INFO,API_CALL,AssetSerialPrintController,"INFO: GET /api/asset-serial-print/status/New - Print queue fetch API called","{""method"":""GET"",""url"":""/api/asset-serial-print/status/New"",""status_filter"":""New"",""operation"":""fetchPrintQueue""}","{""status"":""Request received, fetching print queue""}",N/A,USR002
2025-12-05T13:11:03.667Z,INFO,DATA_RETRIEVED,AssetSerialPrintController,"INFO: Retrieved 26 print queue items","{""status_filter"":""New""}","{""count"":26,""has_items"":true}",39,USR002
2025-12-05T13:15:48.541Z,INFO,API_CALL,AssetSerialPrintController,"INFO: GET /api/asset-serial-print/status/New - Print queue fetch API called","{""method"":""GET"",""url"":""/api/asset-serial-print/status/New"",""status_filter"":""New"",""operation"":""fetchPrintQueue""}","{""status"":""Request received, fetching print queue""}",N/A,USR002
2025-12-05T13:15:48.543Z,INFO,DB_QUERY,AssetSerialPrintController,"INFO: Querying print queue from database","{""status_filter"":""New"",""query"":""getPrintQueueByStatus""}","{""status"":""Executing query""}",N/A,USR002
2025-12-05T13:15:48.646Z,INFO,DATA_RETRIEVED,AssetSerialPrintController,"INFO: Retrieved 26 print queue items","{""status_filter"":""New""}","{""count"":26,""has_items"":true}",73,USR002
2025-12-05T13:15:49.314Z,INFO,DB_QUERY,AssetSerialPrintController,"INFO: Querying print queue from database","{""status_filter"":""New"",""query"":""getPrintQueueByStatus""}","{""status"":""Executing query""}",N/A,USR002
2025-12-05T13:15:49.315Z,INFO,API_CALL,AssetSerialPrintController,"INFO: GET /api/asset-serial-print/status/New - Print queue fetch API called","{""method"":""GET"",""url"":""/api/asset-serial-print/status/New"",""status_filter"":""New"",""operation"":""fetchPrintQueue""}","{""status"":""Request received, fetching print queue""}",N/A,USR002
2025-12-05T13:15:49.397Z,INFO,DATA_RETRIEVED,AssetSerialPrintController,"INFO: Retrieved 26 print queue items","{""status_filter"":""New""}","{""count"":26,""has_items"":true}",78,USR002
2025-12-05T13:15:50.087Z,INFO,API_CALL,AssetSerialPrintController,"INFO: GET /api/asset-serial-print/status/New - Print queue fetch API called","{""method"":""GET"",""url"":""/api/asset-serial-print/status/New"",""status_filter"":""New"",""operation"":""fetchPrintQueue""}","{""status"":""Request received, fetching print queue""}",N/A,USR002
2025-12-05T13:15:50.099Z,INFO,DB_QUERY,AssetSerialPrintController,"INFO: Querying print queue from database","{""status_filter"":""New"",""query"":""getPrintQueueByStatus""}","{""status"":""Executing query""}",N/A,USR002
2025-12-05T13:15:50.136Z,INFO,DATA_RETRIEVED,AssetSerialPrintController,"INFO: Retrieved 26 print queue items","{""status_filter"":""New""}","{""count"":26,""has_items"":true}",43,USR002
